이탈여부,부양가족수,교육수준,총거래관계수,12개월비활성개월수,12개월고객접촉횟수,신용한도,회전잔액,1~4분기총이용금액변화,총거래금액,1~4분기거래횟수변화,나이그룹,수입,결혼여부_Married,결혼여부_Single,결혼여부_Unknown,카드등급_Gold,카드등급_Platinum,카드등급_Silver,성별_M
0.0,3,2,5,1,3,0.9564757709251102,-0.35017543859649125,1.335,-1.0655579191645717,1.625,2,3,True,False,False,False,False,False,True
0.0,5,4,6,1,2,0.4354772393538913,-0.28912280701754384,1.541,-1.0087023786501643,3.714,2,1,False,True,False,False,False,False,False
0.0,3,4,4,1,0,-0.13286343612334803,-0.895438596491228,2.594,-0.7781860375169213,2.333,3,4,True,False,False,False,False,False,True
0.0,4,2,3,4,1,-0.14519823788546254,0.8708771929824561,1.405,-1.0551150647843743,2.333,1,1,False,False,True,False,False,False,False
0.0,3,1,5,1,0,0.01961820851688693,-0.895438596491228,2.175,-1.1924192612647457,2.5,1,3,True,False,False,False,False,False,True
0.0,2,4,3,1,2,-0.06331864904552129,-0.020350877192982456,1.376,-1.0872171726938697,0.846,2,2,True,False,False,False,False,False,True
0.0,4,0,6,1,3,3.520352422907489,0.6933333333333334,1.975,-0.9936182556565462,0.722,3,5,True,False,False,True,False,False,True
0.0,0,2,2,2,2,2.8818795888399413,0.08421052631578947,2.204,-0.9131695996905821,0.714,1,3,False,False,True,False,False,True,True
0.0,3,1,5,2,0,2.091395007342144,0.8708771929824561,3.355,-0.9858828079675112,1.182,1,3,False,True,False,False,False,False,True
0.0,2,4,6,3,3,0.8348898678414097,0.2814035087719298,1.524,-0.9506865209824018,0.882,2,4,False,True,False,False,False,False,True
0.0,5,1,5,3,2,0.25832599118942734,0.13403508771929826,0.831,-1.0435118932508218,0.68,2,5,False,False,True,False,False,False,True
0.0,1,0,6,2,3,0.5340381791483113,0.21824561403508771,1.433,-0.9998066138077741,1.364,4,2,True,False,False,False,False,False,True
0.0,1,3,3,6,0,0.8460499265785609,-0.895438596491228,3.397,-0.9127828273061304,3.25,3,4,False,True,False,False,False,False,True
0.0,3,4,5,1,3,0.4696622613803231,0.2736842105263158,1.163,-1.0009669309611293,2.0,1,3,False,False,True,False,False,False,True
0.0,2,4,5,2,2,-0.24822320117474303,-0.4182456140350877,1.19,-0.9007928833881261,0.611,3,1,True,False,False,False,False,False,False
0.0,4,0,5,1,2,-0.03700440528634361,-0.21333333333333335,1.707,-0.9866563527364146,1.7,2,4,False,False,True,False,False,False,True
0.0,4,5,6,2,3,3.0329515418502204,0.7621052631578947,1.708,-0.8617288725584993,0.929,2,4,False,True,False,False,False,False,True
0.0,3,0,4,4,1,1.0556240822320118,0.010526315789473684,0.653,-1.1104235157609748,1.625,2,4,True,False,False,False,False,False,True
0.0,1,2,2,2,3,-0.15929515418502202,0.8708771929824561,1.831,-0.9912976213498356,1.143,4,2,True,False,False,False,False,False,True
0.0,2,4,6,1,2,1.1654625550660793,-0.08350877192982456,0.966,-1.0411912589441115,0.909,2,0,True,False,False,False,False,False,False
0.0,1,6,5,2,0,1.9301027900146843,0.36771929824561406,0.906,-1.0524076580932122,0.929,2,3,False,False,False,False,False,False,True
1.0,0,4,2,3,3,-0.36542731277533036,-0.895438596491228,1.047,-1.2403790369367627,0.6,4,1,True,False,False,False,False,False,False
0.0,3,2,4,2,1,-0.009280469897209985,-0.4182456140350877,1.608,-1.1479404370527944,1.571,2,2,True,False,False,False,False,False,True
0.0,4,0,3,3,2,-0.2416446402349486,0.19929824561403509,0.573,-1.0725198220847032,0.353,2,1,False,True,False,False,False,False,False
0.0,2,0,4,2,3,0.9007929515418502,-0.895438596491228,1.075,-1.078708180235931,0.75,3,4,True,False,False,False,False,False,True
0.0,3,4,6,1,2,0.3781497797356828,0.27578947368421053,0.797,-1.1015277509185843,0.833,2,1,False,True,False,False,False,False,False
0.0,1,2,4,1,2,1.2023494860499266,0.0687719298245614,0.921,-1.045058982788629,1.3,3,2,False,False,True,False,False,False,True
0.0,1,0,3,3,2,0.6656093979441997,-0.18666666666666668,0.843,-0.7716109069812416,1.0,4,3,True,False,False,False,False,False,True
0.0,3,1,5,2,2,0.6520998531571219,-0.895438596491228,0.525,-1.1011409785341326,1.571,2,0,False,True,False,False,False,False,False
0.0,4,2,6,0,0,0.027723935389133626,0.060350877192982454,0.739,-1.103848385225295,0.9,2,2,True,False,False,False,False,False,True
0.0,3,0,3,2,3,-0.21098384728340674,0.37543859649122807,0.977,-1.1065557919164573,2.571,3,4,True,False,False,False,False,False,True
0.0,2,1,2,5,1,-0.2464610866372981,0.2905263157894737,1.323,-0.8907368013923805,1.6,3,3,True,False,False,False,False,False,True
0.0,4,4,4,1,2,0.5138325991189427,0.8708771929824561,1.726,-0.8934442080835429,1.667,2,3,True,False,False,False,False,False,True
0.0,2,3,5,2,3,-0.22308370044052864,0.15017543859649124,1.75,-0.9622896925159543,1.0,3,1,True,False,False,False,False,False,False
0.0,0,4,6,2,2,0.9404992657856094,0.29473684210526313,0.519,-1.0087023786501643,0.714,3,4,True,False,False,False,False,False,True
0.0,1,3,4,2,1,-0.12088105726872246,0.447719298245614,0.51,-0.9638367820537613,0.483,3,1,False,True,False,False,False,False,False
0.0,3,4,6,2,3,-0.177856093979442,0.7171929824561404,1.724,-0.7820537613614388,1.176,3,1,True,False,False,False,False,False,False
0.0,4,2,2,3,3,1.278590308370044,-0.895438596491228,0.865,-1.1344034035969832,1.2,2,1,True,False,False,True,False,False,False
